CUI_ID,Gene
C1824195,argfx
C2239821,arglu1
C1412520,arhgap1
C1428226,arhgap10
C1538921,arhgap10
C1538922,arhgap11a
C1538923,arhgap11b
C1424207,arhgap12
C1427256,arhgap15
C1538924,arhgap17
C1427261,arhgap18
C1428225,arhgap19
C1425469,arhgap20
C1428226,arhgap21
C1428960,arhgap22
C3660488,arhgap22
C1428476,arhgap24
C1428755,arhgap25
C1538925,arhgap26
C3273455,arhgap26
C1538926,arhgap27
C1538927,arhgap28
C1824198,arhgap29
C1824199,arhgap30
C1970471,arhgap31
C1837895,arhgap32
C1427903,arhgap33
C0119391,arhgap35
C1415304,arhgap35
C2828632,arhgap36
C2828633,arhgap39
C1412521,arhgap4
C1424102,arhgap40
C2828634,arhgap42
C3146409,arhgap44
C1412522,arhgap5
C1412523,arhgap6
C1412524,arhgap8
C1422424,arhgap9
C1412525,arhgdia
C1412526,arhgdib
C1412527,arhgdig
C0606872,arhgef1
C1332110,arhgef1
C1422408,arhgef10
C1824200,arhgef10l
C1422770,arhgef11
C1422475,arhgef12
C3275242,arhgef12
C1423600,arhgef15
C1423545,arhgef16
C1427723,arhgef17
C1424737,arhgef18
C1428610,arhgef19
C1412528,arhgef2
C1857748,arhgef25
C3146479,arhgef26
C1412529,arhgef3
C2828660,arhgef33
C2680434,arhgef35
C2828661,arhgef37
C2828662,arhgef38
C1412530,arhgef4
C1864909,arhgef40
C1332111,arhgef5
C3711667,arhgef5
C1412531,arhgef6
C1423613,arhgef7
C1422758,arhgef9
C0675390,arid1a
C1420251,arid1a
C1425260,arid1b
C1425257,arid2
C1414153,arid3a
C1422585,arid3b
C1427416,arid3c
C1419287,arid4a
C1423571,arid4b
C1424934,arid5a
C1424935,arid5b
C1412533,arih1
C1412534,arih2
C1412323,arl1
C1412536,arl1
C1824211,arl10
C1428339,arl11
C1824212,arl13a
C1824213,arl13b
C1824214,arl14
C1824215,arl15
C1824216,arl16
C2828665,arl17a
C2239903,arl17b
C1412537,arl2
C1424778,arl2bp
C1412538,arl3
C1538929,arl4a
C1824201,arl4c
C1824202,arl4d
C1824205,arl5a
C1824206,arl5b
C1824207,arl5c
